index,axis-0,axis-1
0.0,83.47620106761566,769.1522835112693
1.0,68.93738717339667,429.587648456057
2.0,62.824555490014326,604.8242184208309
3.0,86.35012841819005,308.59563378153797
4.0,75.32315978456015,897.8403210476291
5.0,95.26721543636042,994.4060010621349
6.0,91.79267210787793,1204.0671575585523
7.0,153.90169800273242,1075.9908919393663
8.0,140.7788497564631,492.34722742600223
9.0,149.09590258643675,1389.6594080526174
10.0,147.81571090291362,112.00236796046535
11.0,176.47471599477228,1290.8006434100735
12.0,176.23774740810555,613.203738611373
13.0,181.69784438893515,230.81598667776854
14.0,177.14247100880635,858.0415903740518
15.0,208.54733579926022,366.63980805758274
16.0,236.20444940594848,719.5502750976796
17.0,217.09434526777702,1157.309464445996
18.0,227.12016257289272,1497.161070860576
19.0,252.55647009793708,953.9525942904772
20.0,256.6095109002598,73.31706766068
21.0,259.96435643564354,485.3425742574257
22.0,281.23308270676694,171.0910275689223
23.0,269.614600377596,808.0575204531152
24.0,298.6318493150685,1409.7138270547946
25.0,310.415682642587,1191.024234004785
26.0,292.56382503905377,1313.5594733318455
27.0,290.3937868963515,299.5850188715765
28.0,304.7206784281063,606.9335958203983
29.0,318.6015018346275,1034.2630770543562
30.0,335.21385402138543,885.1789865178987
31.0,341.57057919015887,414.9014864172219
32.0,398.7568132267442,782.0134447674419
33.0,385.72400432510364,225.8293386195711
34.0,407.0953177257525,681.0330513476293
35.0,399.21019108280257,102.92837188512684
36.0,389.6741756858797,1257.5052856783286
37.0,418.75770020533884,558.7641067761807
38.0,410.9330994435035,1371.348536172272
39.0,450.9033944331297,313.60122199592666
40.0,408.73073308270676,1061.9623120300753
41.0,432.8356972870062,908.1117563065208
42.0,460.6687207819804,1184.7440501487463
43.0,448.3094664010903,450.5000524163959
44.0,485.4577120661571,1315.9422378148101
45.0,504.82360239884196,135.33859516095677
46.0,514.0204159149179,982.07463678663
47.0,523.683549432739,1103.4282820097244
48.0,534.7428286129267,864.7891249092229
49.0,539.2630520068403,741.575394829494
50.0,523.7423716644729,1425.0890271628575
51.0,551.6767123287672,591.9882583170254
52.0,535.8434850513164,1533.0464078536368
53.0,573.5483021285684,417.9734462874635
54.0,583.6424549996035,197.02434382681787
55.0,575.8429800691329,1229.9739648451864
56.0,615.1565008627804,315.43251556755945
57.0,615.4293524293524,1041.4390544390544
58.0,610.5905075807515,818.0112063282795
59.0,614.5747963063552,1344.5834872351982
60.0,649.0137387799963,1463.513280820663
61.0,668.399878106589,556.0672445317261
62.0,701.0292522396246,894.7321591809373
63.0,691.0803202802452,727.4335043162768
64.0,684.1189877961235,1195.066223977028
65.0,708.8117080767325,184.38514900545056
66.0,730.1064100236064,419.8989467949882
67.0,708.8333021865072,1040.8473182582695
68.0,708.2402868457668,1362.1823825323772
69.0,760.837512914436,334.54231238846626
70.0,764.964012073369,1257.417924309264
71.0,790.7706529713867,624.2300807043287
72.0,790.3464484314343,509.75207218549997
73.0,804.6456752085369,1482.5493349364997
74.0,790.059398424898,1116.294904639909
75.0,798.901196928636,238.1955736224029
76.0,813.160007399186,985.9838142804291
77.0,818.2899763103346,779.8923600829138
78.0,826.2863676341249,1348.2988566402814
79.0,851.6655770324048,68.82973280272883
80.0,867.8118015577379,891.7396715204876
81.0,886.9356600392525,173.23935489376225
82.0,862.9405821282907,1199.3266592510197
83.0,911.5572633686016,415.3389333714613
84.0,887.3720186154741,306.2268760907504
85.0,896.450495049505,679.8450495049505
86.0,912.7807424593967,1081.7005993812838
87.0,993.8049367850692,485.7716117151255
88.0,911.2979234972678,1409.3818579234974
89.0,950.2365355783646,999.838311613424
90.0,947.7082634931277,1282.031511900771
91.0,944.2446670135275,804.4592872008325
92.0,1013.2331253942665,1199.6097988364759
93.0,990.0130697774897,124.72823503996544
94.0,1016.582245047689,895.1864269992664
95.0,1004.5347194455551,277.42243102758897
96.0,1020.5210285628608,589.4528075567883
97.0,1038.1603974923303,1379.1025076697345
98.0,1014.3492609463605,747.9280468532119
99.0,1017.3475900277008,1498.1192243767314
100.0,1067.2501404757445,1104.4769619778986
101.0,1071.809715013221,1002.7736754480462
102.0,1081.792382675108,85.81519445281882
103.0,1107.4058644325971,697.6130997715156
104.0,1114.2587393338838,209.32018992568126
105.0,1129.5445578231293,1475.9075963718822
106.0,1132.2961165048544,1273.30168126924
107.0,1131.3806397832657,563.6856309263311
